Temperature___C,Humidity_,Soil_moisture,Reference_evapotranspiration,Evapotranspiration,Crop_Coefficient,Crop_Coefficient_stage,Nitrogen_mgkg,Phosphorus_mgkg,Potassium,Solar_Radiation_ghi,Wind_Speed,Days_of_planted,pH,Water_Demand
28.6,79.5,265.0,35.89548692,15.79401424,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.59,15.7940142448
28.6,79.0,268.0,35.92131328,15.80537784,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.61,15.8053778432
28.6,79.3,266.0,35.90580769,15.79855539,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.63,15.798555383600002
28.6,79.0,264.0,35.92131328,15.80537784,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.61,15.8053778432
28.6,78.5,265.0,35.94722144,15.81677743,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.66,15.8167774336
28.6,79.0,268.0,35.92131328,15.80537784,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.64,15.8053778432
28.6,78.3,265.0,35.95760778,15.82134742,0.44,Initial Stage,117,42,58,43.0,1.93,6,3.63,15.8213474232
28.5,76.8,589.0,36.04671745,15.86055568,0.44,Initial Stage,117,42,58,43.0,1.44,6,3.63,15.860555678
28.5,77.6,589.0,36.00496577,15.84218494,0.44,Initial Stage,117,42,58,43.0,1.44,6,3.68,15.8421849388
28.5,78.5,264.0,35.95825143,15.82163063,0.44,Initial Stage,117,42,58,43.0,1.44,6,3.65,15.8216306292
28.5,77.6,265.0,36.00496577,15.84218494,0.44,Initial Stage,117,42,58,43.0,1.44,6,3.62,15.8421849388
28.5,78.1,268.0,35.97898014,15.83075126,0.44,Initial Stage,117,42,58,43.0,1.44,6,3.69,15.8307512616
28.5,77.0,264.0,36.03625923,15.85595406,0.44,Initial Stage,117,42,58,43.0,1.44,6,3.67,15.8559540612
28.5,78.0,264.0,5.856231239,2.576741745,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.64,2.57674174516
28.5,77.8,265.0,5.858215749,2.57761493,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.66,2.57761492956
28.5,78.5,268.0,5.851281038,2.574563657,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.67,2.57456365672
28.5,77.3,266.0,5.863188184,2.579802801,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.65,2.57980280096
28.5,79.5,264.0,5.841427585,2.570228138,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.65,2.5702281374
28.4,78.6,264.0,5.849961101,2.573982885,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.65,2.57398288444
28.4,78.0,268.0,5.85588239,2.576588252,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.65,2.5765882516
28.4,77.9,266.0,5.856871477,2.57702345,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.68,2.57702344988
28.4,78.3,264.0,5.852918917,2.575284324,0.44,Initial Stage,117,42,58,5.0,1.44,6,3.63,2.57528432348
29.7,95.0,587.0,237.6993647,106.1723829,0.44,Initial Stage,117,42,58,312.0,1.69,7,3.65,104.587720468
29.7,95.0,587.0,237.6993647,106.1723829,0.446666667,Initial Stage,117,42,58,312.0,1.69,7,3.65,106.17238297856646
25.2,95.0,268.0,237.6993647,106.1723829,0.446666667,Initial Stage,117,42,58,312.0,1.69,7,3.67,106.17238297856646
27.4,89.1,268.0,527.6467657,235.682222,0.446666667,Initial Stage,117,42,58,690.0,1.24,7,3.67,235.6822221885489
27.4,90.1,268.0,526.9812243,235.3849469,0.446666667,Initial Stage,117,42,58,690.0,1.24,7,3.65,235.3849470296604
25.2,95.0,228.0,158.8520088,73.07192406,0.446666667,Initial Stage,44,15,22,217.0,1.32,9,3.71,70.95389731695067
25.2,95.0,228.0,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.66,73.071924048
25.3,95.0,230.0,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.67,73.073643758
25.3,95.0,228.0,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.67,73.073643758
25.3,95.0,230.0,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.65,73.073643758
25.3,95.0,227.0,158.8557473,73.07364377,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.68,73.073643758
25.2,95.0,227.0,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.65,73.071924048
25.2,95.0,229.0,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.66,73.071924048
25.2,95.0,229.0,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.67,73.071924048
25.2,95.0,227.0,158.8520088,73.07192406,0.46,Initial Stage,44,15,22,217.0,1.32,9,3.67,73.071924048
28.6,83.8,232.0,592.2348705,272.4280404,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.65,272.42804043
28.6,82.6,230.0,593.1608066,272.853971,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.67,272.853971036
28.7,82.3,230.0,593.4101585,272.9686729,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.68,272.96867291
28.7,82.8,233.0,593.0217236,272.7899928,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.67,272.789992856
28.7,81.6,230.0,593.955955,273.2197393,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.68,273.2197393
28.8,82.0,231.0,593.6606015,273.0838767,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.65,273.08387669
28.7,82.8,235.0,593.0217236,272.7899928,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.61,272.789992856
28.6,83.2,229.0,592.6970039,272.6406218,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.68,272.640621794
28.5,82.6,237.0,593.1439819,272.8462317,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.63,272.846231674
28.6,80.5,233.0,594.7975284,273.6068631,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.67,273.60686306400004
28.7,79.1,230.0,595.9245954,274.1253139,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.65,274.12531388400004
28.8,77.4,238.0,597.3083696,274.76185,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.65,274.761850016
28.8,79.5,231.0,595.6300069,273.9898032,0.46,Initial Stage,117,42,58,804.0,0.81,9,3.65,273.98980317400003
30.0,62.7,231.0,196.9530654,90.59841007,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.64,90.598410084
30.0,62.5,231.0,197.0131101,90.62603064,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.7,90.626030646
30.0,63.2,237.0,196.8033711,90.52955071,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.68,90.529550706
30.0,62.2,231.0,197.1033576,90.66754447,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.69,90.667544496
30.0,61.7,231.0,197.2542549,90.73695725,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.69,90.736957254
30.0,62.0,237.0,197.1636435,90.69527599,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.66,90.69527601
30.0,62.2,232.0,197.1033576,90.66754447,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.71,90.667544496
29.9,63.5,232.0,196.6962742,90.48028612,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.65,90.480286132
29.9,64.0,235.0,196.5479465,90.41205541,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.66,90.41205539
29.9,65.7,234.0,196.0479173,90.18204196,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.67,90.182041958
29.9,65.5,232.0,196.1064059,90.20894669,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.69,90.208946714
29.9,65.2,229.0,196.1943063,90.24938092,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.66,90.249380898
29.9,66.3,232.0,195.8729836,90.10157246,0.46,Initial Stage,117,42,58,258.0,2.72,9,3.65,90.101572456
28.9,83.7,213.0,1.868697314,1.376607021,0.75,Development Stage,117,42,58,203.0,1.02,17,3.68,1.4015229855
28.9,84.8,502.0,1.864018277,1.37316013,0.736666667,Development Stage,117,42,58,203.0,1.02,17,3.65,1.3731601313446729
27.6,89.0,502.0,50.35744181,37.26450694,0.736666667,Development Stage,117,42,58,203.0,1.02,17,3.67,37.09664881681915
27.6,96.0,215.0,49.87612163,36.90833001,0.74,Development Stage,117,42,58,203.0,1.02,17,3.66,36.9083300062
27.6,87.8,212.0,50.44183051,37.32695458,0.74,Development Stage,117,42,58,203.0,1.02,17,3.65,37.3269545774
27.6,96.5,214.0,49.84242385,36.88339365,0.74,Development Stage,117,42,58,203.0,1.02,17,3.71,36.883393649
27.5,93.0,213.0,50.08002216,37.0592164,0.74,Development Stage,117,42,58,203.0,1.02,17,3.67,37.0592163984
29.0,86.9,203.0,50.28469968,37.21067776,0.74,Development Stage,117,42,58,203.0,1.02,17,3.7,37.2106777632
29.0,86.9,213.0,50.28469968,37.21067776,0.74,Development Stage,117,42,58,203.0,1.02,17,3.69,37.2106777632
29.0,86.7,195.0,50.29936565,37.22153058,0.74,Development Stage,117,42,58,203.0,1.02,17,3.7,37.221530581
28.9,86.0,196.0,50.35020224,37.25914966,0.74,Development Stage,117,42,58,203.0,1.02,17,3.69,37.2591496576
28.9,86.3,196.0,50.32818373,37.24285596,0.74,Development Stage,117,42,58,203.0,1.02,17,3.69,37.2428559602
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,117,42,58,203.0,1.02,17,3.71,37.2700279166
28.9,86.0,196.0,50.35020224,37.25914966,0.74,Development Stage,117,42,58,203.0,1.02,17,3.69,37.2591496576
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,117,42,58,203.0,1.02,17,3.7,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,117,42,58,203.0,1.02,17,3.68,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,203.0,1.02,17,3.67,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,203.0,1.02,17,3.72,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,203.0,1.02,17,3.74,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.71,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.71,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.76,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.7,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.74,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.71,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.72,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.65,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.71,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.68,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.74,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.7,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.76,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.75,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.71,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.72,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.72,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.7,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.71,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.7,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.77,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.77,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.73,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.72,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.7,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.75,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,3.75,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,6.55,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,5.04,37.2700279166
28.9,85.8,196.0,50.36490259,37.27002792,0.74,Development Stage,106,39,55,732.0,1.44,17,1.44,37.2700279166
